index,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
2423,"Walden, Tillie",Spinning,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2424,"Walker, Abena",Beyond Theory: A Blueprint to Implement African-Centered Education,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
2425,"Walker, Abena",Our Favorite African Adrinkra Symbols: A Coloring Book,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
2426,"Walker, Alice",The Color Purple,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
2427,"Wallace, Rich",Dishes,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
2428,"Wallmark, Laurie",Ada Byron Lovelace and the Thinking Machine,Banned in Classrooms,,"Chu, April",,Pennsylvania,Central York School District,August 2021,Administrator
2429,"Wallmark, Laurie",Grace Hopper: Queen of Computer Code,Banned in Classrooms,,"Wu, Katy",,Pennsylvania,Central York School District,August 2021,Administrator
2430,"Walls, Jeannette",The Glass Castle,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
2431,"Walls, Jeannette",The Glass Castle,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
2432,"Walls, Jeannette",The Glass Castle,Banned in Libraries,,,,Missouri,Nixa Public Schools,February 2022,Formal Challenge
2433,"Walls, Jeannette",The Glass Castle,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
2434,"Walls, Jeannette",The Glass Castle,Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administrator
2435,"Walther, K. L.",If We Were Us,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2436,"Walton, Jessica",Introducing Teddy,Banned Pending Investigation,,,,Indiana,Carmel Clay Schools,July 2021,Administrator
2437,"Walton, K. M.",Empty,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
2438,"Wang, Jen",The Prince and the Dressmaker,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator
2439,"Ward, Jesmyn",Salvage the Bones (Bois Sauvage Series),Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administrator
2440,"Ward, Sarah",Aesop Lake,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2441,"Warga, Jasmine",Other Words for Home,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
2442,"Warga, Jasmine",The Shape of Thunder,Banned in Classrooms,,,,North Carolina,Wilkes County School District,June 2022,Administrator
2443,"Waters, Erica",Ghost Wood Song,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2444,"Watson, Renée",Harlem's Little Blackbird: The Story of Florence Mills,Banned in Classrooms,,"Robinson, Christian",,Pennsylvania,Central York School District,August 2021,Administrator
2445,"Watson, Renée",Piecing Me Together,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator
2446,"Weatherford, Carole Boston",Before John Was a Jazz Giant: A Song of John Coltrane,Banned in Classrooms,,"Qualls, Sean",,Pennsylvania,Central York School District,August 2021,Administrator
2447,"Weatherford, Carole Boston",Freedom in Congo Square,Banned in Classrooms,,"Christie, R. Gregory",,Pennsylvania,Central York School District,August 2021,Administrator
2448,"Weatherford, Carole Boston",Gordon Parks: How the Photographer Captured Black and White America,Banned in Classrooms,,"Christoph, Jamey",,Pennsylvania,Central York School District,August 2021,Administrator
2449,"Weingarten, Lynn",Suicide Notes From Beautiful Girls,Banned in Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
2450,"Weir, Meghan MacLean",The Book of Essie,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2451,"Wells, Maggie",Luciana (Nine Months Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
2452,"Wells, Rosemary",Yoko (Yoko Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
2453,"Wersba, Barbara",Whistle Me Home,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
2454,"Wersba, Barbara",Whistle Me Home,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
2455,"West, Catherine Adel",Saving Ruby King,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
2456,"Westerfeld, Scott",Afterworlds (Afterworlds Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2457,"Westerfeld, Scott",Afterworlds (Afterworlds Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
2458,"Westerfeld, Scott",Afterworlds (Afterworlds Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2459,"Westerfeld, Scott",Uglies (Uglies Series),Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator
2460,"Weyer, Hannah","On the Come Up: A Novel, Based on a True Story",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
2461,WGBH Kids,Molly of Denali: Berry Itchy Day,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
2462,"Whaley, John Corey",Highly Illogical Behavior,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
