index,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
380,"Cherry, Matthew A.",Hair Love,Banned in Classrooms,,"Harrison, Vashti",,Pennsylvania,Central York School District,August 2021,Administrator
381,Chief Seattle,"Brother Eagle, Sister Sky",Banned Pending Investigation,,"Jeffers, Susan",,Florida,Duval County Public Schools,January 2022,Administrator
382,Chii,The Bride Was a Boy,Banned Pending Investigation,,,"Conrad, Beni Axia",Tennessee,Collierville Schools,February 2022,Administrator
383,"Chin-Lee, Cynthia",Amelia to Zora: Twenty-Six Women Who Changed the World,Banned in Classrooms,,"Halsey, Megan; Addy, Sean",,Pennsylvania,Central York School District,August 2021,Administrator
384,"Chinn, Karen",Sam and the Lucky Money,Banned Pending Investigation,,"Hu, Ying-Hwa; Van Wright, Cornelius",,Florida,Duval County Public Schools,January 2022,Administrator
385,"Chmakova, Svetlana",Brave (Berrybrook Middle School Series),Banned Pending Investigation,,,,Florida,Lee County Schools,March 2022,Administrator
386,"Choi, Yangsook",The Name Jar,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
387,"Choi, Yangsook",The Name Jar,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
388,"Cisneros, Sandra",The House on Mango Street,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
389,"Clare, Cassandra",City of Heavenly Fire (The Mortal Instruments Series),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
390,"Clare, Cassandra",City of Heavenly Fire (The Mortal Instruments Series),Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator
391,"Clare, Cassandra",City of Heavenly Fire (The Mortal Instruments Series),Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
392,"Clare, Cassandra",City of Heavenly Fire (The Mortal Instruments Series),Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
393,"Clare, Cassandra",Clockwork Princess (The Infernal Devices Series),Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator
394,"Clare, Cassandra",Clockwork Princess (The Infernal Devices Series),Banned Pending Investigation,,,,Tennessee,Wilson County School District,May 2022,Other
395,"Clare, Cassandra",The Lost Book of the White (The Eldest Curses Series),Banned Pending Investigation,"Chu, Wesley",,,Tennessee,Collierville Schools,February 2022,Administrator
396,"Clare, Cassandra",The Red Scrolls of Magic,Banned Pending Investigation,"Chu, Wesley",,,Texas,Granbury Independent School District,January 2022,Administrator
397,"Clare, Cassandra",The Red Scrolls of Magic,Banned Pending Investigation,"Chu, Wesley",,,Texas,North East Independent School District,December 2021,Administrator
398,"Clare, Cassandra",The Red Scrolls of Magic (The Eldest Curses Series),Banned Pending Investigation,"Chu, Wesley",,,Tennessee,Collierville Schools,February 2022,Administrator
399,"Clark-Robinson, Monica",Let the Children March,Banned in Classrooms,,"Morrison, Frank",,Pennsylvania,Central York School District,August 2021,Administrator
400,"Clark, Kristin Elizabeth",Freakboy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
401,"Clark, Kristin Elizabeth","Jess, Chunk, and the Road Trip to Infinity",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
402,"Clarke, Cassandra Rose",Forget This Ever Happened,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
403,"Clarke, Cat",The Pants Project,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
404,"Clarke, Hannah Abigail",The Scapegracers (Scapegracers Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
405,"Clements, Andrew",Extra Credit,Banned Pending Investigation,,"Elliott, Mark",,Florida,Duval County Public Schools,January 2022,Administrator
406,"Clifton, Lucille",The Boy Who Didn't Believe in Spring,Banned in Classrooms,,"Turkle, Brinton",,Pennsylvania,Central York School District,August 2021,Administrator
407,"Cline-Ransome, Lesa",Before She Was Harriet,Banned Pending Investigation,,"Ransome, James E.",,Florida,Duval County Public Schools,January 2022,Administrator
408,"Coates, Ta-Nehisi",Between the World and Me,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
409,"Coates, Ta-Nehisi",Between the World and Me,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
410,"Coates, Ta-Nehisi",We Were Eight Years in Power: An American Tragedy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
411,"Coerr, Eleanor",Sadako,Banned Pending Investigation,,"Young, Ed",,Florida,Duval County Public Schools,January 2022,Administrator
412,"Cohen, Adam","Imbeciles: The Supreme Court, American Eugenics, and the Sterilization of Carrie Buck",Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
413,"Cohen, Barbara","Thank You, Jackie Robinson",Banned Pending Investigation,,"Cuffari, Richard",,Florida,Duval County Public Schools,January 2022,Administrator
414,"Cohen, Caron Lee",The Mud Pony,Banned Pending Investigation,,"Begay, Shonto",,Florida,Duval County Public Schools,January 2022,Administrator
415,"Cohn, Rachel",Gingerbread (Cyd Charisse Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
416,"Cohn, Rachel",Gingerbread (Cyd Charisse Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
417,"Cohn, Rachel",Naomi and Ely's No Kiss List,Banned Pending Investigation,"Levithan, David",,,Texas,Granbury Independent School District,January 2022,Administrator
418,"Cokal, Susann",The Kingdom of Little Wounds,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
419,"Colbert, Brandy",Little & Lion,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
420,"Colbert, Brandy",Little & Lion,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
421,"Colbert, Brandy",Little & Lion,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
422,"Cole, Brock",The Facts Speak for Themselves,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
423,"Coles, Jay",Things We Couldn't Say,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
424,"Coles, Robert",The Story of Ruby Bridges,Banned in Classrooms,,"Ford, George",,Pennsylvania,Central York School District,August 2021,Administrator
425,"Collins, B. R.",The Traitor Game,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
426,"Collins, Orlagh",All the Invisible Things,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
427,"Conley, Garrard","Boy Erased: A Memoir of Identity, Faith, and Family",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
428,"Connor, Leslie",A Home for Goddesses and Dogs,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
429,"Connors, Kathleen",The Life of Rosa Parks (Famous Lives Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
430,"Constantine, Alysia",Short Stuff: A Young Adult LGBTQ+ Anthology,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
431,"Cook, Maria",Gender Identity: Beyond Pronouns and Bathrooms,Banned Pending Investigation,,"Cornell, Alexis",,Tennessee,Collierville Schools,February 2022,Administrator
432,"Cook, Maria",Gender Identity: Beyond Pronouns and Bathrooms,Banned in Libraries and Classrooms,,"Cornell, Alexis",,Texas,Prosper Independent School District,March 2022,Administrator
433,"Cook, Trish",Notes from the Blender,Banned Pending Investigation,"Halpin, Brendan",,,Texas,Fredericksburg Independent School District,March 2022,Administrator
434,"Cook, Trish",Notes from the Blender,Banned Pending Investigation,"Halpin, Brendan",,,Texas,Granbury Independent School District,January 2022,Administrator
435,"Cook, Trish",Notes from the Blender,Banned Pending Investigation,"Halpin, Brendan",,,Texas,North East Independent School District,December 2021,Administrator
436,"Cooke, Trish","Full, Full, Full of Love",Banned in Classrooms,,"Howard, Paul",,Pennsylvania,Central York School District,August 2021,Administrator
437,"Cooper, Floyd",Max and the Tag-Along Moon,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
438,"Córdova, Zoraida",Bruja Born (Brooklyn Brujas Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
439,"Córdova, Zoraida",Labyrinth Lost (Brooklyn Brujas Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
440,"Córdova, Zoraida",Wayward Witch (Brooklyn Brujas Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
441,"Córdova, Zoraida",Wayward Witch (Brooklyn Brujas Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
442,"Corey, Shana",Malala: A Hero for All (Step into Reading Series),Banned Pending Investigation,,"Sayles, Elizabeth",,Florida,Duval County Public Schools,January 2022,Administrator
443,"Corinna, Heather",S.E.X.: The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School and College,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
444,"Corinna, Heather","Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up",Banned Pending Investigation,,"Rotman, Isabella; Howard, Luke B.",,Florida,Walton County School District,April 2022,Administrator
445,"Cornwall, Gaia",Jabari Jumps (Jabari Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
446,"Cosson, M. J.",A Dream Come True: Coming to America from Vietnam-1975,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
447,"Cotugno, Katie",How to Love,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
448,"Cotugno, Katie",How to Love,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
449,"Couch, Robbie",The Sky Blues,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
450,"Coulson, Art",Unstoppable: How Jim Thorpe and the Carlisle Indian School Football Team Defeated Army (Encounter: Narrative Nonfiction Picture Books Series),Banned Pending Investigation,,"Hardcastle, Nick",,Florida,Duval County Public Schools,January 2022,Administrator
451,"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
452,"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
453,"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
454,"Coulthurst, Audrey",Of Ice and Shadows (Of Fire and Stars Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
455,"Coulthurst, Audrey",Of Ice and Shadows (Of Fire and Stars Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
456,"Cox, Judy",My Family Plays Music,Banned in Classrooms,,"Brown, Elbrite",,Pennsylvania,Central York School District,August 2021,Administrator
457,"Craft, Jerry",Class Act,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
458,"Craft, Jerry",Class Act,Banned in Libraries,,,,Texas,Katy Independent School District,September 2021,Administrator
459,"Craft, Jerry",Class Act,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
460,"Craft, Jerry",New Kid,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
461,"Craft, Jerry",New Kid,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
462,"Craft, Jerry",New Kid,Banned in Libraries,,,,Texas,Katy Independent School District,September 2021,Administrator
463,"Craft, Jerry",New Kid,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
464,"Craig, Joe",A Guy's Guide to Sexuality and Sexual Identity in the 21st Century,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
465,"Creech, Sharon",Walk Two Moons,Banned in Classrooms,,,,Tennessee,Williamson County Schools,November 2021,Formal Challenge
466,"Cremer, Andrea",Rift (Nightshade Prequel Series),Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
467,"Cronn-Mills, Kirstin",Beautiful Music for Ugly Children,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
468,"Cronn-Mills, Kirstin",Striving for Equality: LGBTQ Athletes Claim the Field,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
469,"Crutcher, Chris",Staying Fat for Sarah Byrnes,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
470,"Crutcher, Chris",Staying Fat for Sarah Byrnes,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
471,"Crutcher, Chris",Whale Talk,Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
472,"Curato, Mike",Flamer,Banned in Libraries and Classrooms,,,,Florida,Palm Beach County School District,April 2022,Administrator
473,"Curato, Mike",Flamer,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administrator
474,"Curato, Mike",Flamer,Banned in Libraries and Classrooms,,,,Oklahoma,Bixby Public Schools,June 2022,Administrator
475,"Curato, Mike",Flamer,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
476,"Curato, Mike",Flamer,Banned in Libraries,,,,Texas,Clear Creek Independent School District,February 2022,Administrator
477,"Curato, Mike",Flamer,Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administrator
478,"Curato, Mike",Flamer,Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge
479,"Curato, Mike",Flamer,Banned in Libraries and Classrooms,,,,Texas,Klein Independent School District,May 2022,Administrator
480,"Curato, Mike",Flamer,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
481,"Curato, Mike",Flamer,Banned in Libraries and Classrooms,,,,Wisconsin,School District of Waukesha,December 2021,Administrator
482,"Currie-McGhee, Leanna",LGBT Families (Changing Families),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
483,"Curry, Tyler",A Peacock Among Pigeons,Banned Pending Investigation,,"Gutierrez, Clarione",,Florida,Walton County School District,April 2022,Administrator
484,"Curtis, Christopher Paul",The Mighty Miss Malone,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
485,"Daemicke, Songju Ma",A Case of Sense,Banned Pending Investigation,,"Bersani, Shennen",,Florida,Duval County Public Schools,January 2022,Administrator
486,"Danforth, Emily M.",The Miseducation of Cameron Post,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
487,"Danforth, Emily M.",The Miseducation of Cameron Post,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
488,"Daniels, April",Dreadnought (Nemesis Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
489,"Davis, Tanita S.",Happy families,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
490,"Dawson, Juno",This Book Is Gay,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator
491,"Dawson, Juno",This Book Is Gay,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
492,"Dawson, Juno",This Book Is Gay,Banned in Libraries and Classrooms,,,,Idaho,West Ada School District,February 2022,Formal Challenge
493,"Dawson, Juno",This Book Is Gay,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
494,"Dawson, Juno",This Book Is Gay,Banned in Libraries,,,,Missouri,Lindbergh Schools,October 2021,Formal Challenge
495,"Dawson, Juno",This Book Is Gay,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator
496,"Dawson, Juno",This Book Is Gay,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,April 2022,Administrator
497,"Dawson, Juno",This Book Is Gay,Banned in Libraries,,,,Texas,Granbury Independent School District,January 2022,Administrator
498,"Dawson, Juno",This Book Is Gay,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
499,"Dawson, Juno",This Book Is Gay,Banned in Libraries and Classrooms,,,,Wisconsin,Elmbrook Schools,July 2021,Administrator
500,"Dawson, Juno",This Book Is Gay,Banned in Libraries and Classrooms,,,,Wisconsin,School District of Waukesha,December 2021,Administrator
501,"Dawson, Juno",Understanding Gender,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
502,"de Gramont, Nina",The Boy I Love,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
503,"De La Cruz, Sharon Lee",I'm a Wild Seed: My Graphic Memoir on Queerness and Decolonizing the World,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
504,"de la Peña, Matt",Carmela Full of Wishes,Banned in Classrooms,,"Robinson, Christian",,Pennsylvania,Central York School District,August 2021,Administrator
505,"de la Peña, Matt",Last Stop on Market Street,Banned in Classrooms,,"Robinson, Christian",,Pennsylvania,Central York School District,August 2021,Administrator
506,"de la Peña, Matt",Mexican Whiteboy,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
507,"De Medeiros, James",The Migration North,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
508,"De Medeiros, James",The Migration North,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
509,"de Robertis, Carolina",The Gods of Tango,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
510,"Deaver, Mason",I Wish You All the Best (I Wish You All the Best Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
511,"Dee, Barbara",Maybe He Just Likes You,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
512,"Dee, Barbara",Star-Crossed,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
513,"Dee, Barbara",Star-Crossed,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
514,"Deedy, Carmen Agra",14 Cows for America,Banned Pending Investigation,"Naiyomah, Wilson Kimeli","Gonzalez, Thomas",,Florida,Duval County Public Schools,January 2022,Administrator
515,"Delpit, Lisa","""Multiplication Is for White People"": Raising Expectations for Other People's Children",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
516,"Delpit, Lisa D.",Teaching When the World Is on Fire,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
517,"dePaola, Tomie",The Legend of the Bluebonnet (Legends Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
518,"Derting, Kimberly",Cece Loves Science (Cece Loves Science Series),Banned in Classrooms,"Johannes, Shelli R.","Harrison, Vashti",,Pennsylvania,Central York School District,August 2021,Administrator
519,"des Neiges Léonard, Marie",Gender Equality (Foundations of Democracy),Banned Pending Investigation,"Cucini, Sara",,,Texas,North East Independent School District,December 2021,Administrator
520,"Desombre, Auriane",I Think I Love You,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
521,"Deutsch, Stacia",Team BFF: Race to the Finish! (Girls Who Code Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
522,"Deutsch, Stacia",The Friendship Code (Girls Who Code Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
523,"Devine, Eric",Look Past,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
524,"Devore, Laurie",A Better Bad Idea,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
525,"DiAngelo, Robin",White Fragility: Why It's So Hard for White People to Talk About Racism,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
526,"Díaz, Junot",Islandborn,Banned Pending Investigation,,"Espinosa, Leo",,Florida,Duval County Public Schools,January 2022,Administrator
527,"Díaz, Junot",Islandborn,Banned in Classrooms,,"Espinosa, Leo",,Pennsylvania,Central York School District,August 2021,Administrator
528,"Dietrich, Cale",The Friend Scheme,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
529,"Dietrich, Cale",The Love Interest,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
530,"Dietrich, Cale",The Love Interest,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
531,"Diggs, Taye",Mixed Me!,Banned in Classrooms,,"Evans, Shane W.",,Pennsylvania,Central York School District,August 2021,Administrator
532,"Dillon, Leo",Rap a Tap Tap: Here's Bojangles - Think of That!,Banned in Classrooms,,"Dillon, Diane",,Pennsylvania,Central York School District,August 2021,Administrator
533,"DiMartino, Michael Dante","The Legend of Korra: Turf Wars, Part One",Banned Pending Investigation,,"Koh, Irene",,Tennessee,Collierville Schools,February 2022,Administrator
534,"DiMartino, Michael Dante","The Legend of Korra: Turf Wars, Part Three",Banned Pending Investigation,,"Koh, Irene",,Tennessee,Collierville Schools,February 2022,Administrator
535,"DiMartino, Michael Dante","The Legend of Korra: Turf Wars, Part Two",Banned Pending Investigation,,"Koh, Irene",,Tennessee,Collierville Schools,February 2022,Administrator
536,"Dinnison, Kris",You and Me and Him,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
537,"Dismondy, Maria","Chocolate Milk, Por Favor",Banned in Classrooms,,"Farrell, Donna",,Pennsylvania,Central York School District,August 2021,Administrator
538,"DiTerlizzi, Angela",The Magical Yet,Banned in Classrooms,,"Álvarez, Lorena",,Pennsylvania,Central York School District,August 2021,Administrator
539,"Do, Anh",WeirDo Series: Crazy Weird!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
540,"Do, Anh",WeirDo Series: Even Weirder!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
541,"Do, Anh",WeirDo Series: Extra Weird!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
542,"Do, Anh",WeirDo Series: Hopping Weird!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
543,"Do, Anh",WeirDo Series: Mega Weird!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
544,"Do, Anh",WeirDo Series: Messy Weird!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
545,"Do, Anh",WeirDo Series: Planet Weird,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
546,"Do, Anh",WeirDo Series: Really Weird!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
547,"Do, Anh",WeirDo Series: Spinning Weird,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
548,"Do, Anh",WeirDo Series: Splashy Weird!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
549,"Do, Anh",WeirDo Series: Spooky Weird!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
550,"Do, Anh",WeirDo Series: Super Weird!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
551,"Do, Anh",WeirDo Series: Tasty Weird!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
552,"Do, Anh",WeirDo Series: Totally Weird!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
553,"Do, Anh",WeirDo Series: Vote Weirdo,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
554,"Do, Anh",WeirDo Series: WeirDo,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
555,"Do, Anh",WeirDo Series: Weirdomania!,Banned in Classrooms,,"Faber, Jules",,Pennsylvania,Central York School District,August 2021,Administrator
556,"Doak, Robin S.",Malala Yousafzai (A True Book: Biographies),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
557,"Doeden, Matt","More Than a Game: Race, Gender, and Politics in Sports",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
558,"Dominguez, Angela",Stella Díaz Has Something to Say (Stella Díaz Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
559,"Donoghue, Emma",The Pull of the Stars,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
560,"Dooley, Sarah",Ashes to Asheville,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
561,"Dorros, Arthur",Abuela,Banned Pending Investigation,,"Kleven, Elisa",,Florida,Duval County Public Schools,January 2022,Administrator
562,"Douglass, Frederick",Narrative of the Life of Frederick Douglass,Banned in Libraries and Classrooms,,,,Oklahoma,Edmond Public Schools,October 2021,Administrator
563,"Downham, Jenny",Unbecoming,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
564,"Draper, Sharon M.",Blended,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
565,"Draper, Sharon M.",Blended,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
566,"Draper, Sharon M.",Blended,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administrator
567,"Draper, Sharon M.",Blended,Banned in Libraries,,,,Texas,Clear Creek Independent School District,April 2022,Formal Challenge
568,"Draper, Sharon M.",Darkness Before Dawn,Banned in Classrooms,,,,North Carolina,Pitt County Schools,November 2021,Administrator
569,"Draper, Sharon M.",Forged By Fire,Banned in Classrooms,,,,North Carolina,Pitt County Schools,November 2021,Administrator
570,"Draper, Sharon M.",Panic,Banned in Libraries,,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator
571,"Draper, Sharon M.",Panic,Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge
572,"Draper, Sharon M.",Romiette and Julio,Banned in Libraries,,,,Florida,Lee County Schools,May 2022,Administrator
573,"Dugan, Jennifer",Hot Dog Girl,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
574,"Dugan, Jennifer",Verona Comics,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
575,"Dumas, Firoozeh","It Ain't So Awful, Falafel",Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
576,"Dumas, Marti","Attack of the Swamp Thing (Jaden Toussaint, the Greatest Series)",Banned in Classrooms,,"Parcus, Stephanie",,Pennsylvania,Central York School District,August 2021,Administrator
577,"Dumas, Marti","Mission Star-Power (Jaden Toussaint, the Greatest Series)",Banned in Classrooms,,"Parcus, Stephanie",,Pennsylvania,Central York School District,August 2021,Administrator
578,"Dumas, Marti","Muffin Wars (Jaden Toussaint, the Greatest Series)",Banned in Classrooms,,"Parcus, Stephanie",,Pennsylvania,Central York School District,August 2021,Administrator
579,"Dumas, Marti","The Ladek Invasion (Jaden Toussaint, the Greatest Series)",Banned in Classrooms,,"Muravski, Marie",,Pennsylvania,Central York School District,August 2021,Administrator
580,"Dumas, Marti","The Quest for Screen Time (Jaden Toussaint, the Greatest Series)",Banned in Classrooms,,"Muravski, Marie",,Pennsylvania,Central York School District,August 2021,Administrator
581,"Dunbar-Ortiz, Roxanne",An Indigenous Peoples' History of the United States,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
582,"Dunbar, Helene",We Are Lost and Found,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
583,"Duncan-Andrade, Jeffrey M. R.",The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools,Banned in Classrooms,"Morrell, Ernest",,,Pennsylvania,Central York School District,August 2021,Administrator
